"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"ITC46",1327555.125,1318488.25,1270709,1137208.375
"ITC47",1134242,1118248.25,1073148.75,954575.375
"ITC48",1413991.25,1392949.5,1334391.25,1188305.375
"ITC49",394446.1875,388994.4375,373061.59375,331718.125
"ITC4A",446382,438098.78125,418227.9375,367871.375
"ITC4B",721462.3125,711456.75,681806.125,606256.5
"ITC4C",1353343,1337073.375,1284445.75,1146108.25
"ITC4D",533149.5625,526626.6875,504743.9375,449407.3125
"ITF11",344793,332759.65625,313028.875,275625.03125
"ITF12",275149.71875,266361.78125,253081.59375,220779.1875
"ITF13",147250.015625,144293.359375,137658.765625,122567.890625
"ITF14",331026.125,324532.40625,310314.9375,277580.4375
"ITF21",88114.046875,84379.609375,79218.0625,70195.84375
"ITF22",222668.5,214366.421875,202727.203125,180323.140625
"ITF31",605224.625,586176.5625,550853.9375,476548.90625
"ITF32",265075.46875,254788.265625,240355.046875,208485.5
"ITF33",132675.84375,129724.21875,123376.1796875,108336.2890625
"ITF34",519488.90625,505626.28125,479450.53125,420524.59375
"ITF35",709563,688028.375,650345.6875,568632.5
"ITF43",251903.984375,244818.671875,231771.75,207753.09375
"ITF44",60662.23828125,59105.42578125,55975.234375,50009.08984375
"ITF45",443971.625,440546.4375,429703.125,382816.4375
"ITF46",464840.3125,451594.40625,430565.71875,386609.8125
"ITF47",379330.78125,368250.4375,348811.3125,313751.8125
"ITF48",257460.96875,251480.578125,238781.328125,215738.671875
"ITF51",388216.21875,372720.125,351621.375,315609.96875
"ITF52",127903.765625,123294.046875,116425.34375,105123.0703125
"ITF61",422755.15625,407134.375,383933.3125,339604.375
"ITF62",39587.625,37951.42578125,35978.5390625,32438.876953125
"ITF63",143795.5625,137624.359375,129310.1328125,112842.3203125
"ITF64",85413.1015625,81333.8828125,76235.5859375,65929.0546875
"ITF65",372127.1875,364285.21875,347786.96875,309191.09375
"ITG11",162064.109375,156468.265625,147944.25,130256.9375
"ITG12",233835.921875,227081.078125,216301.4375,195973.390625
"ITG13",88712.609375,86466.171875,83113.5703125,75639.3203125
"ITG14",247077.53125,240274.203125,228600.8125,204893.484375
"ITG15",189042.28125,183107.28125,174431,157657.234375
"ITG16",193271.140625,187220,179184.796875,163070.265625
"ITG17",214286.453125,207235.625,197718.703125,177669.015625
