"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"FRB04",666301.875,686923,738141.1875,829551.8125
"FRB05",476877.8125,484721.5,508795.25,547445.6875
"FRB06",583061.3125,597934,634697.4375,694535.3125
"FRC11",532171.9375,551848.0625,599530.75,691257.125
"FRC12",208873.921875,209215.21875,219638,244323.046875
"FRC13",591406.75,593799.625,609240.5,638611.25
"FRC14",335571.53125,339490.90625,356250.96875,382536.15625
"FRC21",495465.34375,506867,540646.0625,612776.875
"FRC22",370627.65625,378284.375,397657.3125,438372.40625
"FRC23",361222.46875,366342.9375,384557.59375,418677.875
"FRC24",91397.75,93710.921875,100301.671875,112799.15625
"FRD11",552413.25,570966.75,608302.5,686612.3125
"FRD12",318498.78125,319360.0625,323575.625,340040.34375
"FRD13",288631.125,290332.0625,299704.5,319254
"FRD21",921197.75,940164.4375,989776.4375,1059778.625
"FRD22",686376.1875,702189,743211.3125,807490.5625
"FRE11",1979985,2040270.75,2183878,2408551.75
"FRE12",1230800,1267945.125,1366912.625,1524586
"FRE21",603016.875,606529.8125,631897.4375,668371.4375
"FRE22",1195612.375,1226325.25,1304918,1416006.375
"FRE23",615817.0625,627554.9375,663131.1875,718581.8125
"FRF11",1257516.5,1286723.75,1363808.375,1508651
"FRF12",826354.25,853556.9375,918953,1036120.1875
"FRF21",341086.9375,339726.65625,346208.96875,362694.09375
"FRF22",319570.09375,327284.84375,351213.1875,393647.25
"FRF23",484460.21875,493857.5625,527560.6875,587183.375
"FRF24",156091.1875,156272.5625,163744.796875,178176.109375
"FRF31",597420.8125,612390,653415.3125,726367
"FRF32",256058.203125,258189,270068.34375,288256.9375
"FRF33",1364430.75,1365316.625,1386771,1448352.125
"FRF34",411254.15625,411646.34375,422089.3125,442621.125
"FRG01",1339464.125,1390682.625,1482412.25,1664418.875
"FRG02",843571.3125,864538.3125,917179.5625,1012965.8125
"FRG03",356197.6875,360178.0625,374057,405312.5625
"FRG04",539679.1875,555581.1875,596722.4375,673649.0625
"FRG05",674870.1875,689806.25,700851.5,720161
"FRH01",448750.125,452029.96875,465871.59375,494151.59375
"FRH02",492057.90625,501385.375,514951.5,549833.75
"FRH03",988398,1025189.75,1096513.5,1240591.625
"FRH04",690583.25,703326.75,718117.5625,755440.1875
"FRI11",441445.40625,443504.78125,461149.1875,500118.375
"FRI12",1477849.5,1538462.5,1664701.625,1899924.5
"FRI13",407742.84375,414526,429170.625,455901.40625
"FRI14",314238.40625,315746.84375,327557.71875,359387.09375
"FRI15",575988.75,587632.5,617494.5625,674881.375
"FRI21",225315.921875,225589.21875,236341.0625,261831.375
"FRI22",117890.2890625,117406.359375,123298.921875,136664.265625
"FRI23",348792.53125,356544.90625,384376.6875,440617.28125
"FRI31",365670.28125,368636.75,382382.09375,407582.28125
"FRI32",525090.5625,536749.3125,553135.9375,585558.3125
"FRI33",394640.6875,395246.21875,400960,408137.53125
"FRI34",425108.46875,433876.96875,462128.75,511585.15625
"FRJ11",484118.0625,495888.65625,522566.4375,570846.8125
"FRJ12",870962,901695.125,965260.0625,1076022
"FRJ13",850835.25,882087.9375,940765.9375,1045188.6875
"FRJ14",93554.8359375,94764.1328125,101614.0078125,119747.5625
"FRJ15",383879.09375,393936.65625,417058.34375,461520.75
"FRJ21",242944.171875,248290.671875,261937.296875,291752.9375
"FRJ22",289485.375,293394.9375,311682.65625,356384.875
"FRJ23",984248.25,1027148.125,1114023.5,1284611.125
"FRJ24",343462.78125,350571.5,372879.6875,420528.84375
"FRJ25",222385.9375,223143.546875,231352.90625,251409.1875
